DateTime_Start,DateTime_End,Number_Of_Steps,Count_NP,Count_OP,Count_UP,Average_Frequency
19/03/2019 12:37,19/03/2019 12:41,697,227,432,38,167.348
19/03/2019 12:42,19/03/2019 12:47,820,324,451,44,165.484
